algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,1000,1000,1000,1,64,40,13541320.74,3402267.938
lstcstai,S,3,100,1,1000,1000,1000,1,64,40,14344263.06,3416987.428
lstcstai,S,3,100,1,1000,1000,1000,1,64,42,13937810.62,3211245.672
lstcstai,S,3,100,1,1000,1000,1000,1,64,42,14172450.52,3498132.495
lstcstai,S,3,100,1,50,50,50,1,64,2,4030.92,471.3962596
lstcstai,S,3,100,1,50,50,50,1,64,3,3963.7,30.07607022
lstcstai,S,3,100,1,50,50,50,1,64,3,3963.86,16.19136807
lstcstai,S,3,100,1,50,50,50,1,64,2,3959.78,13.934547
lstcstai,S,3,100,1,50,50,50,1,64,2,3965.96,13.54246654
lstcstai,S,3,100,1,288,288,288,1,64,9,133077.08,544.4726197
lstcstai,S,3,100,1,288,288,288,1,64,12,133318.6,95.77870327
lstcstai,S,3,100,1,288,288,288,1,64,13,133733.46,3164.697232
lstcstai,S,3,100,1,288,288,288,1,64,11,133204.3,109.2546109
lstcstai,S,3,100,1,288,288,288,1,64,11,133090.8,469.6702673
lstcstai,S,3,100,1,192,192,192,1,64,6,47092.4,1110.099311
lstcstai,S,3,100,1,192,192,192,1,64,8,46981.2,829.3437888
lstcstai,S,3,100,1,192,192,192,1,64,8,46647.32,74.29655174
lstcstai,S,3,100,1,192,192,192,1,64,8,46676.72,125.268518
lstcstai,S,3,100,1,192,192,192,1,64,8,46646.08,75.56926359
lstcstai,S,3,100,1,160,160,160,1,64,5,25746.9,684.8402806
lstcstai,S,3,100,1,160,160,160,1,64,7,26027.8,69.71771654
lstcstai,S,3,100,1,160,160,160,1,64,7,26027.96,58.51733418
lstcstai,S,3,100,1,160,160,160,1,64,7,26016.96,69.22917304
lstcstai,S,3,100,1,160,160,160,1,64,7,26005.36,60.75780115
lstcstai,S,3,100,1,350,350,350,1,64,13,255105,9685.680868
lstcstai,S,3,100,1,350,350,350,1,64,14,247168.16,6785.143154
lstcstai,S,3,100,1,350,350,350,1,64,17,249765.94,4810.125559
lstcstai,S,3,100,1,350,350,350,1,64,17,248935.64,189.3186478
lstcstai,S,3,100,1,350,350,350,1,64,17,248992.3,466.7034712
lstcstai,S,3,100,1,96,96,96,1,64,3,11036.12,517.0785488
lstcstai,S,3,100,1,96,96,96,1,64,4,10967.14,59.17668798
lstcstai,S,3,100,1,96,96,96,1,64,5,10911.28,40.06147276
lstcstai,S,3,100,1,96,96,96,1,64,4,10961.38,56.94765667
lstcstai,S,3,100,1,96,96,96,1,64,6,10958.72,36.51522422
lstcstai,S,3,100,1,128,128,128,1,64,4,17328.76,609.0305267
lstcstai,S,3,100,1,128,128,128,1,64,6,17289.14,122.940475
lstcstai,S,3,100,1,128,128,128,1,64,6,17340.84,135.7651443
lstcstai,S,3,100,1,128,128,128,1,64,6,16855.56,294.1688739
lstcstai,S,3,100,1,128,128,128,1,64,5,16695.64,55.5797661
lstcstai,S,3,100,1,150,150,150,1,64,4,24623.18,546.2659678
lstcstai,S,3,100,1,150,150,150,1,64,7,24536.82,50.09817961
lstcstai,S,3,100,1,150,150,150,1,64,7,24587.3,59.70971445
lstcstai,S,3,100,1,150,150,150,1,64,6,24626.92,51.40149414
lstcstai,S,3,100,1,150,150,150,1,64,7,24599.82,44.26768121
lstcstai,S,3,100,1,250,250,250,1,64,8,94756.74,417.7342605
lstcstai,S,3,100,1,250,250,250,1,64,10,94183.26,454.0896744
lstcstai,S,3,100,1,250,250,250,1,64,10,94168.86,327.0317422
lstcstai,S,3,100,1,250,250,250,1,64,11,94154.94,162.1483777
lstcstai,S,3,100,1,250,250,250,1,64,11,94457.68,86.95365202
lstcstai,S,3,100,1,300,300,300,1,64,9,151864.44,537.9848756
lstcstai,S,3,100,1,300,300,300,1,64,14,151603.4,4051.853206
lstcstai,S,3,100,1,300,300,300,1,64,13,151656.34,416.4334093
lstcstai,S,3,100,1,300,300,300,1,64,12,150900.06,598.4148531
lstcstai,S,3,100,1,300,300,300,1,64,14,151572.88,158.2435642
lstcstai,S,3,100,1,600,600,600,1,64,21,2610636.08,613133.3143
lstcstai,S,3,100,1,600,600,600,1,64,25,2643571.08,321017.8536
lstcstai,S,3,100,1,600,600,600,1,64,25,2385485.84,529166.1393
lstcstai,S,3,100,1,600,600,600,1,64,24,2761409.2,229070.2796
lstcstai,S,3,100,1,600,600,600,1,64,25,2500132.7,460375.6483
lstcstai,S,3,100,1,800,800,800,1,64,33,6430999.76,1297396.361
lstcstai,S,3,100,1,800,800,800,1,64,32,5891312.52,1284797.192
lstcstai,S,3,100,1,800,800,800,1,64,30,9148976.28,182971.3516
lstcstai,S,3,100,1,800,800,800,1,64,29,9204877.24,150562.1188
lstcstai,S,3,100,1,800,800,800,1,64,39,8141420.82,1520986.674
lstcstai,S,3,100,1,200,200,200,1,64,7,50483.78,1202.844467
lstcstai,S,3,100,1,200,200,200,1,64,8,50603.88,232.9578194
lstcstai,S,3,100,1,200,200,200,1,64,8,50465.72,111.2275218
lstcstai,S,3,100,1,200,200,200,1,64,8,50461.72,129.0531735
lstcstai,S,3,100,1,200,200,200,1,64,9,50450.2,128.5312413
lstcstai,S,3,100,1,100,100,100,1,64,4,9923.52,569.4027833
lstcstai,S,3,100,1,100,100,100,1,64,5,9830.76,40.72717029
lstcstai,S,3,100,1,100,100,100,1,64,5,9837.28,44.97156435
lstcstai,S,3,100,1,100,100,100,1,64,5,9834.16,44.73493489
lstcstai,S,3,100,1,100,100,100,1,64,4,9828.8,34.39883719
lstcstai,S,3,100,1,450,450,450,1,64,16,477001.86,13990.73002
lstcstai,S,3,100,1,450,450,450,1,64,19,474789.42,1499.677206
lstcstai,S,3,100,1,450,450,450,1,64,20,437603.64,33814.90276
lstcstai,S,3,100,1,450,450,450,1,64,26,467261.62,1880.674973
lstcstai,S,3,100,1,450,450,450,1,64,19,466774.72,1073.878821
lstcstai,S,3,100,1,256,256,256,1,64,8,103327.18,428.4811636
lstcstai,S,3,100,1,256,256,256,1,64,11,103560.06,1995.570319
lstcstai,S,3,100,1,256,256,256,1,64,12,103695.56,237.2585223
lstcstai,S,3,100,1,256,256,256,1,64,12,104498.68,85.12706738
lstcstai,S,3,100,1,256,256,256,1,64,26,103668.94,249.6641272
