algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,D,3,100,1,800,800,800,1,292,11376811.66,2759531.252
lstmfppai,D,3,100,1,800,800,800,1,307,16252636.06,2652478.981
lstmfppai,D,3,100,1,200,200,200,1,103,73951.62,103.8745185
lstmfppai,D,3,100,1,200,200,200,1,127,73782.64,79.76459365
lstmfppai,D,3,100,1,200,200,200,1,100,73783.38,80.96268029
lstmfppai,D,3,100,1,200,200,200,1,105,73641.18,89.81485178
lstmfppai,D,3,100,1,200,200,200,1,98,73874.76,78.53421165
lstmfppai,D,3,100,1,100,100,100,1,98,15280.2,409.795754
lstmfppai,D,3,100,1,100,100,100,1,180,15290.46,73.25577383
lstmfppai,D,3,100,1,100,100,100,1,138,15276.5,63.15575983
lstmfppai,D,3,100,1,100,100,100,1,141,15275.32,58.31584347
lstmfppai,D,3,100,1,100,100,100,1,148,15295.78,60.80568723
lstmfppai,D,3,100,1,450,450,450,1,139,1570882.6,34363.80789
lstmfppai,D,3,100,1,450,450,450,1,113,1307594.14,105950.624
lstmfppai,D,3,100,1,450,450,450,1,125,1532402.6,30951.80006
lstmfppai,D,3,100,1,450,450,450,1,144,1562801.28,29562.65064
lstmfppai,D,3,100,1,450,450,450,1,120,1566170,24409.57065
lstmfppai,D,3,100,1,256,256,256,1,102,252669.18,634.1909709
lstmfppai,D,3,100,1,256,256,256,1,104,252356.74,179.1633679
lstmfppai,D,3,100,1,256,256,256,1,106,252644.26,182.6506841
lstmfppai,D,3,100,1,256,256,256,1,108,252545.64,224.8923085
lstmfppai,D,3,100,1,256,256,256,1,106,252674.78,174.9505404
lstmfppai,D,3,100,1,400,400,400,1,111,753972.98,1802.811976
lstmfppai,D,3,100,1,400,400,400,1,123,756866.92,18359.05441
lstmfppai,D,3,100,1,400,400,400,1,120,746517.88,22939.57325
lstmfppai,D,3,100,1,400,400,400,1,121,762889.04,2082.908946
lstmfppai,D,3,100,1,400,400,400,1,124,753030.8,1120.202642
lstmfppai,D,3,100,1,224,224,224,1,103,109110.42,3651.029302
lstmfppai,D,3,100,1,224,224,224,1,103,108160.68,178.2434784
lstmfppai,D,3,100,1,224,224,224,1,114,108197.22,191.9180335
lstmfppai,D,3,100,1,224,224,224,1,134,107926.44,249.9904926
lstmfppai,D,3,100,1,224,224,224,1,94,108063.02,225.5515453
lstmfppai,D,3,100,1,550,550,550,1,113,2769479.08,773741.2055
lstmfppai,D,3,100,1,550,550,550,1,207,2340150.02,397780.2527
lstmfppai,D,3,100,1,550,550,550,1,188,2876731.54,759462.723
lstmfppai,D,3,100,1,550,550,550,1,219,3130030.58,943359.3472
lstmfppai,D,3,100,1,550,550,550,1,227,3587998.38,744753.0737
