algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,192,192,192,1,16,7,55900.58,642.0633642
lstcsta,S,3,100,1,160,160,160,1,16,6,37540.68,354.022284
lstcsta,S,3,100,1,160,160,160,1,16,6,37434.16,62.73096843
lstcsta,S,3,100,1,160,160,160,1,16,6,37463.1,55.20987231
lstcsta,S,3,100,1,160,160,160,1,16,9,37412.44,94.60996988
lstcsta,S,3,100,1,160,160,160,1,16,12,37431.6,49.3522036
lstcsta,S,3,100,1,350,350,350,1,16,12,357844.66,8216.628945
lstcsta,S,3,100,1,350,350,350,1,16,16,354072.66,605.1214625
lstcsta,S,3,100,1,350,350,350,1,16,16,354373.54,523.9819543
lstcsta,S,3,100,1,350,350,350,1,16,16,354392.68,1351.915152
lstcsta,S,3,100,1,350,350,350,1,16,16,354770.7,621.470136
lstcsta,S,3,100,1,96,96,96,1,16,3,9847.26,166.5614373
lstcsta,S,3,100,1,96,96,96,1,16,4,9818.52,37.70317758
lstcsta,S,3,100,1,96,96,96,1,16,9,9844.88,30.11022418
lstcsta,S,3,100,1,96,96,96,1,16,3,9822.6,33.63688452
lstcsta,S,3,100,1,96,96,96,1,16,8,9858.38,30.59077639
lstcsta,S,3,100,1,128,128,128,1,16,4,23473.74,584.1772269
lstcsta,S,3,100,1,128,128,128,1,16,4,23288.74,99.89230401
lstcsta,S,3,100,1,128,128,128,1,16,5,23277.46,82.41606882
lstcsta,S,3,100,1,128,128,128,1,16,5,23340.32,92.35116458
lstcsta,S,3,100,1,128,128,128,1,16,5,23335.6,249.5180955
lstcsta,S,3,100,1,150,150,150,1,16,5,30847.36,402.5040005
lstcsta,S,3,100,1,150,150,150,1,16,6,30702.48,121.8184288
lstcsta,S,3,100,1,150,150,150,1,16,6,30759.94,76.72715556
lstcsta,S,3,100,1,150,150,150,1,16,6,30756.9,83.06365029
lstcsta,S,3,100,1,150,150,150,1,16,6,30765.9,65.67625142
lstcsta,S,3,100,1,250,250,250,1,16,9,132808.66,1411.263613
lstcsta,S,3,100,1,250,250,250,1,16,10,131365.56,623.6157843
lstcsta,S,3,100,1,250,250,250,1,16,10,132264.02,392.2248585
lstcsta,S,3,100,1,250,250,250,1,16,10,131570.04,912.6719446
lstcsta,S,3,100,1,250,250,250,1,16,10,132041.26,401.0012374
lstcsta,S,3,100,1,300,300,300,1,16,10,206071.68,1599.201556
lstcsta,S,3,100,1,300,300,300,1,16,12,205162.26,1277.236623
lstcsta,S,3,100,1,300,300,300,1,16,12,206271.58,1283.255253
lstcsta,S,3,100,1,300,300,300,1,16,13,205635.22,2379.546993
