algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,300,300,300,1,16,16,523222.74,373.1171296
lstcstai,S,3,100,1,300,300,300,1,16,23,521373.28,813.078226
lstcstai,S,3,100,1,300,300,300,1,16,15,337900,95794.06367
lstcstai,S,3,100,1,600,600,600,1,16,23,3009383.06,1358088.735
lstcstai,S,3,100,1,600,600,600,1,16,26,1757345.54,143193.2042
lstcstai,S,3,100,1,600,600,600,1,16,32,2790434.26,1781965.335
lstcstai,S,3,100,1,600,600,600,1,16,29,4116092.98,1006764.104
lstcstai,S,3,100,1,600,600,600,1,16,29,4566667.76,558551.9464
lstcstai,S,3,100,1,800,800,800,1,16,171,5687357.74,1992073.875
lstcstai,S,3,100,1,800,800,800,1,16,36,11724629.7,4297532.617
lstcstai,S,3,100,1,800,800,800,1,16,32,6048483.78,1526359.766
lstcstai,S,3,100,1,800,800,800,1,16,34,11543479.72,1245763.036
lstcstai,S,3,100,1,800,800,800,1,16,36,10908705.68,2048103.416
lstcstai,S,3,100,1,200,200,200,1,16,8,117695,3660.192607
lstcstai,S,3,100,1,200,200,200,1,16,9,114861.06,354.9592884
lstcstai,S,3,100,1,200,200,200,1,16,13,114899.66,250.5974948
lstcstai,S,3,100,1,200,200,200,1,16,9,114841.58,243.8971988
lstcstai,S,3,100,1,200,200,200,1,16,10,115238.32,1536.562702
lstcstai,S,3,100,1,100,100,100,1,16,4,14216.76,908.7974375
lstcstai,S,3,100,1,100,100,100,1,16,6,14186.68,124.8816143
lstcstai,S,3,100,1,100,100,100,1,16,6,13979.7,37.07519386
lstcstai,S,3,100,1,100,100,100,1,16,6,13957.64,31.94793264
lstcstai,S,3,100,1,100,100,100,1,16,5,13957.34,30.28108981
lstcstai,S,3,100,1,450,450,450,1,16,15,1862464.94,334425.6634
lstcstai,S,3,100,1,450,450,450,1,16,23,1928767.82,193586.5378
lstcstai,S,3,100,1,450,450,450,1,16,23,2001641.64,74056.55872
lstcstai,S,3,100,1,450,450,450,1,16,20,1510115.42,150940.0265
lstcstai,S,3,100,1,450,450,450,1,16,21,1178321.36,733370.25
lstcstai,S,3,100,1,256,256,256,1,16,10,494573.1,8464.660395
lstcstai,S,3,100,1,256,256,256,1,16,15,490303.18,550.7845564
lstcstai,S,3,100,1,256,256,256,1,16,13,496673.2,548.4023705
lstcstai,S,3,100,1,256,256,256,1,16,13,491060.46,1770.510607
lstcstai,S,3,100,1,256,256,256,1,16,14,410221.9,75478.37031
lstcstai,S,3,100,1,400,400,400,1,16,16,1393487.36,4541.154161
lstcstai,S,3,100,1,400,400,400,1,16,21,1026288.6,385837.0767
lstcstai,S,3,100,1,400,400,400,1,16,21,1394778.74,6161.124858
lstcstai,S,3,100,1,400,400,400,1,16,20,1001530.42,402889.7622
lstcstai,S,3,100,1,400,400,400,1,16,20,1388705.06,2287.96065
lstcstai,S,3,100,1,224,224,224,1,16,10,217031.62,5349.869011
lstcstai,S,3,100,1,224,224,224,1,16,10,219387.36,496.7496255
lstcstai,S,3,100,1,224,224,224,1,16,12,217408.28,422.7039172
lstcstai,S,3,100,1,224,224,224,1,16,12,218489.38,458.3320146
lstcstai,S,3,100,1,224,224,224,1,16,12,217072.5,317.3018909
lstcstai,S,3,100,1,550,550,550,1,16,20,2127450.4,1448525.406
lstcstai,S,3,100,1,550,550,550,1,16,27,2245474.1,739205.9845
lstcstai,S,3,100,1,550,550,550,1,16,25,2635149.16,999078.5966
lstcstai,S,3,100,1,550,550,550,1,16,25,2708013.18,1471143.251
lstcstai,S,3,100,1,550,550,550,1,16,27,3125514.76,750518.9681
lstcstai,S,3,100,1,64,64,64,1,64,4,6359.58,966.3887228
lstcstai,S,3,100,1,64,64,64,1,64,3,6223.74,25.58109458
lstcstai,S,3,100,1,64,64,64,1,64,3,6226.72,43.14813553
lstcstai,S,3,100,1,64,64,64,1,64,3,6223.36,33.57306063
lstcstai,S,3,100,1,64,64,64,1,64,3,6273.92,62.29569488
lstcstai,S,3,100,1,500,500,500,1,64,19,2413900.2,1831416.681
lstcstai,S,3,100,1,500,500,500,1,64,23,3522821.18,1075167.129
lstcstai,S,3,100,1,500,500,500,1,64,26,3115009.52,1771981.721
lstcstai,S,3,100,1,500,500,500,1,64,27,3209496.84,1765811.291
lstcstai,S,3,100,1,500,500,500,1,64,26,3526094.18,1779472.557
lstcstai,S,3,100,1,1000,1000,1000,1,64,66,8738901.86,3583803.67
lstcstai,S,3,100,1,1000,1000,1000,1,64,53,18984576.04,10985418.1
lstcstai,S,3,100,1,1000,1000,1000,1,64,64,15045671.84,10263747.79
lstcstai,S,3,100,1,1000,1000,1000,1,64,47,19610647.3,3653457.871
lstcstai,S,3,100,1,1000,1000,1000,1,64,50,26908184.12,4843769.454
lstcstai,S,3,100,1,50,50,50,1,64,2,4853.86,632.5825483
lstcstai,S,3,100,1,50,50,50,1,64,5,4676.74,29.53832087
lstcstai,S,3,100,1,50,50,50,1,64,4,4672.28,35.20684024
lstcstai,S,3,100,1,50,50,50,1,64,4,4676.68,26.73532495
lstcstai,S,3,100,1,50,50,50,1,64,3,4678.98,38.5312808
lstcstai,S,3,100,1,288,288,288,1,64,10,694730.88,2757.942687
lstcstai,S,3,100,1,288,288,288,1,64,17,692298.78,429.6048086
lstcstai,S,3,100,1,288,288,288,1,64,20,695623.96,1267.007987
lstcstai,S,3,100,1,288,288,288,1,64,15,401131.54,128800.7626
lstcstai,S,3,100,1,288,288,288,1,64,15,697285.68,754.9123774
lstcstai,S,3,100,1,192,192,192,1,64,7,89741.88,2073.487397
lstcstai,S,3,100,1,192,192,192,1,64,10,90387.64,228.6313854
lstcstai,S,3,100,1,192,192,192,1,64,10,90410.16,200.855805
lstcstai,S,3,100,1,192,192,192,1,64,10,90375.64,205.2311633
lstcstai,S,3,100,1,192,192,192,1,64,10,90449,208.9143365
lstcstai,S,3,100,1,160,160,160,1,64,6,46013.96,1909.364512
